cats,empath
help,0.011495748998633289
medical_emergency,0.03026286985486839
health,0.020760979534845195
hygiene,0.005934244079068033
fear,0.00530117915737284
death,0.006644223430501897
negative_emotion,0.016838343618173105
sadness,0.003756974068004189
nervousness,0.004413704968080512
confusion,0.00132529478934321
war,0.010247368639028748
fight,0.009904211952502382
healing,0.010643773776912654
movement,0.006874966719717901
positive_emotion,0.01103426242020128
optimism,0.006543643022382099
sympathy,0.0011596329406753088
family,0.010886350055319224
government,0.019400185777930293
economics,0.010099456274146693
